Title,Maximum Resolution (EN),Framerate in 4K mode (EN),HDR/SDR (EN),Cross-platform (EN),ID,Chris' Comments Box
SteamWorld Dig,1920x1080,60,HDR,None,c4898519ff254b969ede8bafdff927e8rcp1,No HDR settings | Pixel Count | Specs confirmed by devs/pubs
SteamWorld Dig 2,1920x1080,60,HDR,None,b832835182124d4d83cb76a74a76a33frcp1,No HDR settings | Pixel Count | Specs confirmed by devs/pubs
SteamWorld Heist,3840x2160,60,HDR,None,819cdf4b7ff94947941106571ccf41e5rcp1,No HDR settings | Pixel Count
SteamWorld Quest: Hand of Gilgamech,1920x1080,60,HDR,None,b845605f8eb447008f3f0d2295265ffdrcp1,No HDR settings | Pixel Count | Specs confirmed by devs/pubs
Strange Brigade,2560x1440,60,HDR,None,8e77c7a4368944589b4c9d8179d2eb4crcp1,Pixel Count
Street Power Football,1920x1080,60,SDR,None,a997c2d05c1b4680b47e376367c187ecrcp1,Pixel Count | Not compatible with 4K mode
Submerged: Hidden Depths,1920x1080,60,HDR,None,3c39a33bbc064308941f9276c38c30e7rcp1,Pixel Count
Sundered: Eldritch Edition,1920x1080,60,SDR,None,5ec4424b963f44d18d0016322c19c9f0rcp1,Not compatible with 4K mode | Pixel Count | Specs confirmed by devs/pubs
SUPER BOMBERMAN R ONLINE,2560x1440,60,SDR,None,2847419bbb5146ed877a308d9884f504rcp1,Pixel Count
SUPERHOT,3840x2160,60,SDR,None,f7afcff709e74227a5648aacadf03815rcp1,Pixel Count | Specs confirmed by devs/pubs
Superhot: Mind Control Delete,3840x2160,60,SDR,None,382fe14629e148449e7b8f94e8aecb38rcp1,Pixel Count | Specs confirmed by devs/pubs
Terraria,Pixel Art/Retro,60,SDR,None,774b82b8c1194dc2acc13a268c4ea7c7rcp1,
The Crew 2,1920x1080,30,SDR,None,cc97434908874852a6705d255a605dc8rcp1,30FPS in 1080p mode | Pixel Count
The Darkside Detective,Pixel Art/Retro,60,SDR,None,b465998ccc1c48aaa2fb74f331ebbdd7rcp1,
The Darkside Detective: A Fumble in the Dark,Pixel Art/Retro,,,None,4e9c4e089aa5410cbffb3c1869d68925rcp1,
The Elder Scrolls Online,3840x2160,30,HDR,PC,b17f16d4a4f94c0a85e07f54dbdedbb6rcp1,30FPS in 1080p mode | Pixel Count | Specs confirmed by devs/pubs
The Gardens Between,3840x2160,60,SDR,None,cf65dc95d523465493d6fbc482452227rcp1,Pixel Count | Specs confirmed by devs/pubs
The Legend of Heroes: Trails of Cold Steel III,3840x2160,60,SDR,None,5de3aed0b1b4439887e1cb4458f9cec8rcp1,Pixel Count
The Legend of Heroes: Trails of Cold Steel IV,,,,None,95d975e630f5443ca402b5d67c31323drcp1,
