Title,Image,Current State (EN),Release Date (EN),Maximum Resolution (EN),Pixel Count (EN),Framerate in 4K mode (EN),HDR/SDR (EN),Comments (EN),Cross-platform (EN),Developers (EN),Publishers,Price (GBP),Price (USD),Button to Store
Darksiders Genesis,darksiders-genesis.webp (https://dl.airtable.com/.attachments/3212b824da2c89a0d054d80decc10e98/dd489d95/darksiders-genesis.webp),Released,5.12.2019,2560x1440 (2K),dsg_proof.png (https://dl.airtable.com/.attachments/7500b5de8b9bfbd41ef23071d4b70c2a/f1a97f2a/dsg_proof.png),60,SDR,Pixel Count,None,Airship Syndicate,THQ Nordic,£34.99,$39.99,https://stadia.google.com/store/details/f39390395ed5444d8e9b23460c8f9152rcp1/sku/6c8ae46efebc4bd1a7de725bc630ce65
Dead by Daylight,dead-by-daylight.webp (https://dl.airtable.com/.attachments/4236bc808077da1fe547256334e83419/64bc84ef/dead-by-daylight.webp),"Released,Previously Claimable with Pro",1.10.2020,2880x1620 (3K),dbd_proof.png (https://dl.airtable.com/.attachments/f8940dae75d2898075e44eb98e2fb42e/36bfa50b/dbd_proof.png),60,SDR,Pixel Count,"Full cross play,Cross buy",BHVR,BHVR,£17.99,$19.99,https://stadia.google.com/store/details/b67e43f2b05f4ba7acc56a4b222568aarcp1/sku/5af3426b8434401897bb4eeac0344662
Destiny 2,destiny-2-the-collection.webp (https://dl.airtable.com/.attachments/6369987938e9a32a467a84a892d7bd97/12f598c5/destiny-2-the-collection.webp),"Released,Previously Claimable with Pro",19.11.2019,1920x1080 (FHD),destiny2_proof.png (https://dl.airtable.com/.attachments/f9c69d5d44f331656427eee73a9fc3e1/4160e995/destiny2_proof.png),60,HDR,"Pixel Count,Specs confirmed by devs/pubs,No HDR settings",Cross save,Bungie,Bungie,£0.00,$0.00,https://stadia.google.com/store/details/20e792017ab34ad89b70dc17a5c72d68rcp1/sku/4950959380034dcda0aecf98f675e11f
Destroy All Humans,destroy-all-humans.webp (https://dl.airtable.com/.attachments/8c62bdaabb920e6ec62219b6c1ebcb52/4d99ddc5/destroy-all-humans.webp),Released,8.12.2020,1920x1080 (FHD),dah_proof.png (https://dl.airtable.com/.attachments/00515d09f0bc49a872a77a40936a6c8b/e9ad14a3/dah_proof.png),30,SDR,"Pixel Count,Not compatible with 4K mode",None,Black Forest Games,THQ Nordic,£36.99,$39.99,https://stadia.google.com/store/details/0fd3103549b54c7e89afd6eed83672cercp1/sku/fae281d43a044453a5ad2e1a1961625a
DiRT 5,dirt-5.webp (https://dl.airtable.com/.attachments/37761fe1b7a777b88d445aab44ed4a0d/86e96d14/dirt-5.webp),Released,24.3.2021,1920x1080 (FHD),dirt_proof.png (https://dl.airtable.com/.attachments/a1caf3f4c5da594032d637356c3c849c/b3d736b8/dirt_proof.png),60,,Pixel Count,None,Codemasters,Codemasters,£54.99,,https://stadia.google.com/store/details/ed81a01114044edcacfa52656b259d41rcp1/sku/f0c21370f7e2488f8898ae59220c2e24p
Disco Elysium,image.png (https://dl.airtable.com/.attachments/0d38f9b8783f2f704826f0c7cd5f771f/a1968d65/image.png),Released,30.3.2021,3840x2160 (4K),disco_proof.png (https://dl.airtable.com/.attachments/83a9c06c2d38e52cd4c103a0b86ef266/929f4719/disco_proof.png),60,SDR,Pixel Count,None,ZAUM,ZAUM,£39.99,$39.99,https://stadia.google.com/store/details/01082780d6f4421c9635b22021f05ff5rcp1/sku/8986c2c2aa70409bad9a76f57d2b69f1p
DOOM (2016),Doom_Cover.jpg (https://dl.airtable.com/.attachments/9b5c716fcc2fd0a3cd0b0b31b9c4c3e0/4c9d7f8a/Doom_Cover.jpg),Released,18.8.2020,3200x1800 (3.5K),doom_proof.png (https://dl.airtable.com/.attachments/93601e8bb3139f88c56a2fdc0360d9db/6992a1c6/doom_proof.png),60,SDR,Pixel Count,None,ID Software,Bethesda Softworks,£14.99,$19.99,https://stadia.google.com/store/details/cc1a8e0e94d54f15a22149fed93bbd7arcp1/sku/3d2a4c3229bd44ea80647beacc9ed247
DOOM 64,doom-64.webp (https://dl.airtable.com/.attachments/07ec159964839ea416ed2e8197f6b919/e9a0c6f9/doom-64.webp),Released,12.5.2020,Pixel Art/Retro,cooltext380356929453699.png (https://dl.airtable.com/.attachments/d5071ab7f8c55bf80c0a0e65b6b9ef1e/8d40224f/cooltext380356929453699.png),60,SDR,,None,Nightdive Studios,Bethesda Softworks,£3.99,$4.99,https://stadia.google.com/store/details/5a0e892c933c4f56b4d87976cb655ecfrcp1/sku/bcdca49dcac843f98ddb10e06ba83ee9
DOOM Eternal,doom-eternal.webp (https://dl.airtable.com/.attachments/65dd3b560d632ea1928afa9cc6bbb271/f6d31c1b/doom-eternal.webp),Released,20.3.2020,3200x1800 (3.5K),doom_eternal_proof.png (https://dl.airtable.com/.attachments/adcf272565c204e963df75e68db3f2c0/b025a0c7/doom_eternal_proof.png),60,HDR,"Specs confirmed by devs/pubs,Pixel Count",None,ID Software,Bethesda Softworks,£49.99,$59.99,https://stadia.google.com/store/details/632522c846a041ce801e47b96ba2e265rcp1/sku/17affc92b9ca47a7b64e748609ed25af
DRAGON BALL XENOVERSE 2,dragon-ball-xenoverse-2.webp (https://dl.airtable.com/.attachments/579946b31c417d940d140b5258be2e14/02b8e992/dragon-ball-xenoverse-2.webp),Released,17.12.2019,3840x2160 (4K),dragonball_proof.png (https://dl.airtable.com/.attachments/6adcffb8f567ff876748fccbef6115d4/06391d54/dragonball_proof.png),60,SDR,Pixel Count,None,Dimps,BANDAI NAMCO Entertainment,£39.99,$49.99,https://stadia.google.com/store/details/80a70c13987841b3a2aedbcac54784abrcp1/sku/66f1b5a13ee54b7aa70aebfddd18c085
DRAGON QUEST XI S: Echoes of an Elusive Age,dragon-quest-xi-s-echoes-of-an-elusive-age.webp (https://dl.airtable.com/.attachments/5b6ab6bbb0b45317fa35164fb234e6fe/54a4a1af/dragon-quest-xi-s-echoes-of-an-elusive-age.webp),Released,16.3.2021,1728x972,dq_proof.png (https://dl.airtable.com/.attachments/2369a1e91bc5c65962656a69689d3509/3e5a30f0/dq_proof.png),60,SDR,"Pixel Count,No HDR settings",None,ORCA,Square Enix,£34.99,,https://stadia.google.com/store/details/6cf458a458cd4b2e8161c740c4844621rcp1/sku/60c01d0c87b64fa0a6bf5cca0bb079e7p
El Hijo - A Wild West Tale,el-hijo-a-wild-west-tale.webp (https://dl.airtable.com/.attachments/c2005bb6c6a4c1faf8538b14283df74a/d4c72258/el-hijo-a-wild-west-tale.webp),"Released,Previously Claimable with Pro",3.12.2020,3840x2160 (4K),elhijo_proof.png (https://dl.airtable.com/.attachments/b847b235ac14d4ee3fe5a74bf54668b0/3959e282/elhijo_proof.png),60,SDR,"Specs confirmed by devs/pubs,Pixel Count",None,Honig Studios,Handy Games,£17.99,$19.99,https://stadia.google.com/store/details/d46f9c2d858d41d6ae4cc12d186657f0rcp1/sku/4761cd53808a462ca823a9e403baea99
Embr,embr.webp (https://dl.airtable.com/.attachments/1982e4c9c6860c6dd2de9076b733ec51/630862a2/embr.webp),"Released,Previously Claimable with Pro",21.4.2020,1920x1080 (FHD),embr_proof.png (https://dl.airtable.com/.attachments/8638acc44e71e886ed80c5bfbb67c03f/a3403538/embr_proof.png),60,HDR,"Pixel Count,Specs confirmed by devs/pubs,Not compatible with 4K mode",Partial Cross play,Muse Games,Curve Digital,£17.99,$19.99,https://stadia.google.com/store/details/d599576cddfc400f804b889460e84cb3rcp1/sku/2240fd0ec10f4229ab05fe5c7547b20a
Enter the Gungeon,enter-the-gungeon.webp (https://dl.airtable.com/.attachments/864383eec0df213f80f0c809bedfb191/3cd16b33/enter-the-gungeon.webp),"Released,Previously Claimable with Pro",22.12.2020,Pixel Art/Retro,cooltext380356929453699.png (https://dl.airtable.com/.attachments/0be3f907177cf1305c624b20109f9766/afed3fc2/cooltext380356929453699.png),60,SDR,Not compatible with 4K mode,None,Dodge Roll,Devolver Digital,£10.99,$14.99,https://stadia.google.com/store/details/8f0addba5d3d4c05b07d7b59481e0171rcp1/sku/de13900e4bc8442b9f1ddead7baaec6dp
Epistory - Typing Chronicles,epistory-typing-chronicles.webp (https://dl.airtable.com/.attachments/8e25fa5575aeab4fb097a7d420ce5f40/fee6275e/epistory-typing-chronicles.webp),Released,2.2.2021,3840x2160 (4K),epistory_proof.png (https://dl.airtable.com/.attachments/250b467ee924e2b59b22c652caf6c4ef/bb53c205/epistory_proof.png),60,SDR,Pixel Count,None,Fishing Cactus,Fishing Cactus,£14.99,$14.99,https://stadia.google.com/store/details/cddb29b222924d11b2bf03a82fee477arcp1/sku/f22c0b322aac4f6dbb9c822780f956c7p
