Title,Image,Current State (EN),Release Date (EN),Maximum Resolution (EN),Pixel Count (EN),Framerate in 4K mode (EN),HDR/SDR (EN),Comments (EN),Cross-platform (EN),Developers (EN),Publishers,Price (GBP),Price (USD),Button to Store
NBA 2K20,nba-2k20.webp (https://dl.airtable.com/.attachments/d4e3564d085272bfb32c84d2c098206b/96f0290e/nba-2k20.webp),Released,19.11.2019,3840x2160 (4K),2k20_proof.png (https://dl.airtable.com/.attachments/de33aba9787fa54e9636922ce1c5076b/1c53a001/2k20_proof.png),30,HDR,"Pixel Count,60FPS in 1080p mode",None,2K Visual Concepts,2K,£39.99,$49.99,https://stadia.google.com/store/details/2afad3696b394f669b49e4c0b6016958rcp1/sku/b6d1b295ed0d4f1080576ac5d51df6d0
NBA 2K21,nba-2k21.webp (https://dl.airtable.com/.attachments/8b4dde62a40c084f5edda6d1d3ac624d/61cc73a9/nba-2k21.webp),Released,4.9.2020,3840x2160 (4K),nba2k21_proof.png (https://dl.airtable.com/.attachments/0851884831ebd765401f3d05879d5e06/1fbd80bc/nba2k21_proof.png),30,HDR,"Pixel Count,60FPS in 1080p mode",None,2K Visual Concepts,2K,£49.99,$59.99,https://stadia.google.com/store/details/b0a2ab7cdc194582bc4d111c07c2e30drcp1/sku/ae31d6ce393f4896b9b9d1f2f1ac676ep
OCTOPATH TRAVELER,image.png (https://dl.airtable.com/.attachments/6b5f7b01c8094d3535d7208cbef95fbf/41e924fa/image.png),Released,28.4.2020,Pixel Art/Retro,cooltext380356929453699.png (https://dl.airtable.com/.attachments/8c75ce1e9bd78dbc9b0de7733079cf00/047464f0/cooltext380356929453699.png),60,SDR,,None,Square Enix,Square Enix,£49.99,$59.99,https://stadia.google.com/store/details/48ead86182b14fe0afcc5f2927dbed51rcp1/sku/a6c13e6aa796439295774eb0e8cd3f8b
Olympic Games Tokyo 2020,olympic-games-tokyo-2020-the-official-video-game.webp (https://dl.airtable.com/.attachments/70e332cb997b81e60cebed39e7ae513d/715e2f32/olympic-games-tokyo-2020-the-official-video-game.webp),"""Announced, No Pre-order""",22.6.2021,,,,,,,,,,,
One Hand Clapping,image.png (https://dl.airtable.com/.attachments/0466ecbd555665df46803665e025407d/685c0186/image.png),Released,14.7.2020,3840x2160 (4K),onehand_proof.png (https://dl.airtable.com/.attachments/ad25e9a515a2db8d3b6282adfa64acea/35ef611c/onehand_proof.png),60,HDR,Pixel Count,None,Handy Games,Handy Games,£2.49,$2.99,https://stadia.google.com/store/details/76309b9f2f294b07b410e8b6aa879273rcp1/sku/55b718bf03544bd3a9f6a62946fe7436
Orcs Must Die 3,image.png (https://dl.airtable.com/.attachments/d46f5c98aa8ec16d8b032494e8d6b397/db4a4097/image.png),"Released,Currently Claimable with Pro",14.7.2020,3840x2160 (4K),omd3_proof.png (https://dl.airtable.com/.attachments/5946f6606176176c5802c58a88441c7c/0161f217/omd3_proof.png),60,HDR,"Pixel Count,Specs confirmed by devs/pubs",None,Robot Entertainment,Stadia Games and Entertainment,£24.99,$29.99,https://stadia.google.com/store/details/c1928530515748da9f55afc7243fd3e1rcp1/sku/fa63c6e891ff4d1bb76c4ac7580c119a
Outcasters,outcasters.webp (https://dl.airtable.com/.attachments/99ea848eb401a7e71785bfaa05423f69/3321b8b4/outcasters.webp),"Released,Previously Claimable with Pro",3.12.2020,,,60,HDR,No HDR settings,None,Splash Damage,Stadia Games and Entertainment,£19.99,$19.99,https://stadia.google.com/store/details/8533fb04b9174c3f8dce10a2fec7b062rcp1/sku/dbea776881b04301a1815e2ad662419a
Outriders,outriders.webp (https://dl.airtable.com/.attachments/2536a8297774a71365c9c480a3b20081/53a74073/outriders.webp),Released,1.4.2021,3840x2160 (4K),outriders_proof.png (https://dl.airtable.com/.attachments/1e415bb81b10cb0429694e586c94a621/1f186b98/outriders_proof.png),30,HDR,"Pixel Count,Performance/Quality toggle,60FPS in 1080p mode",,"Square Enix,People Can Fly,Virtuos",Square Enix,£59.99,$59.99,https://stadia.google.com/store/details/ad1e34961f2148568d215a8101df7693rcp1/sku/bd34045ef3d7485dba29ca6d629d8238p
Outward,outward.webp (https://dl.airtable.com/.attachments/f8262cc34eac3d93a3f63d2955a6fb45/36342f23/outward.webp),Released,30.11.2020,1920x1080 (FHD),outward_proof.png (https://dl.airtable.com/.attachments/59727922d92945552ff73e1c04730a2f/1341bf7e/outward_proof.png),60,SDR,"Pixel Count,Not compatible with 4K mode",None,Nine Dots Studio,Koch Media,£34.99,$39.99,https://stadia.google.com/store/details/8185df0ce9d74d61aab58a12d4bf21a0rcp1/sku/6eaae50957c0401e8d6d893bda9d9b97p
PAC-MAN Mega Tunnel Battle,pac-man-mega-tunnel-battle.webp (https://dl.airtable.com/.attachments/d671b59a435b926fd9f358b60ae5a71a/c3b2e864/pac-man-mega-tunnel-battle.webp),"Released,Currently Claimable with Pro",17.11.2020,3840x2160 (4K),pacman_proof.png (https://dl.airtable.com/.attachments/51856d43f84d0d33b890c119e5583dc5/bd0677b5/pacman_proof.png),60,SDR,Pixel Count,None,Heavy Iron,BANDAI NAMCO Entertainment,£16.99,$19.99,https://stadia.google.com/store/details/9affbc684aeb422086bfb5d0c8bf2f55rcp1/sku/5fa0d3e596d74c018b6778dab6098edcp
Panzer Dragoon: Remake,panzer-dragoon-remake.webp (https://dl.airtable.com/.attachments/d99ee8cb885344e63aeae5faf9b8ac03/b83e2dcf/panzer-dragoon-remake.webp),"Released,Previously Claimable with Pro",1.6.2020,3840x2160 (4K),panzer_proof.png (https://dl.airtable.com/.attachments/ca5d4ff2ac24d201dd25ccd8fbbea026/0f86bec3/panzer_proof.png),60,HDR,"Pixel Count,Specs confirmed by devs/pubs",None,Forever Entertainment,Forever Entertainment,£21.99,$24.99,https://stadia.google.com/store/details/ffda0b7e397243f8956f92f89b6902c4rcp1/sku/ac819b64342841eda35cebfd3a34c769
PGA TOUR 2K21,image.png (https://dl.airtable.com/.attachments/2e374df47a684bb9c586ff5a8050b093/a4efc616/image.png),Released,21.8.2020,3840x2160 (4K),,30,SDR,"Pixel Count,30FPS in 1080p mode",None,ILLOGIKA,2K,£49.99,$59.99,https://stadia.google.com/store/details/6a2ac2fc8e684c41b5c14981dcb454fdrcp1/sku/9c7fd0f16817482c9e0b311a8340cb0b
Phoenix Point,phoenix-point.webp (https://dl.airtable.com/.attachments/4632b2a0896c8630a8d8591d8a2395dc/ce4623a3/phoenix-point.webp),Released,26.1.2021,3840x2160 (4K),phoenix_point_proof.png (https://dl.airtable.com/.attachments/46b00b585115b2d65d53598f89388cd3/d8ad684c/phoenix_point_proof.png),30,HDR,Pixel Count,None,Snapshot Games,Snapshot Games,£54.99,$59.99,https://stadia.google.com/store/details/18ea8c5d2f7e4f40ad783a512da8ef91rcp1/sku/27099d8546ee4bcfbd172b5a4071c399p
PHOGS!,phogs.webp (https://dl.airtable.com/.attachments/ed1c7cb4c2a81980afc965f96a02e86e/2c92b206/phogs.webp),Released,3.12.2020,3840x2160 (4K),phogs_proof.png (https://dl.airtable.com/.attachments/b01114cd31538925b7b6ab8f57b0d3ea/66254252/phogs_proof.png),60,SDR,"Pixel Count,Specs confirmed by devs/pubs",None,Bit Loom Games,Coatsink,£24.99,$24.99,https://stadia.google.com/store/details/05b9db9b9b5b489995568afd930a9db3rcp1/sku/6efd691ecc1c4c50a1a314bb085fb2d7p
Pikuniku,pikuniku.webp (https://dl.airtable.com/.attachments/e3f78be1aa5387050f70c3375ec1a4d1/ef26b7af/pikuniku.webp),"Released,Currently Claimable with Pro",9.2.2021,3840x2160 (4K),pikuniku_proof.png (https://dl.airtable.com/.attachments/923e85d9bb36150aff89868be5de0069/cd73c4a5/pikuniku_proof.png),30,SDR,"Pixel Count,30FPS in 1080p mode",None,Sectordub,Devolver Digital,£10.99,,https://stadia.google.com/store/details/c02a86f966b044569ee03f80fbc86035rcp1/sku/f1bbad79434f496bae9865248c6c136ap
PixelJunk Raiders,image.png (https://dl.airtable.com/.attachments/f3041e65fe315cdba55bd01f164caa3f/9b1f76c2/image.png),"Released,Currently Claimable with Pro",1.3.2021,2880x1620 (3K),pixeljunk_proof.png (https://dl.airtable.com/.attachments/42d718e2a54c0323c015113e9bb61d17/de97d214/pixeljunk_proof.png),60,SDR,Pixel Count,None,Q-Games,Q-Games,£19.99,$19.99,https://stadia.google.com/store/details/5903b3b139194aefa713f216669ee334rcp1/sku/45405fbb56ad4f9fa280d60a6bb57b08p
PLAYERUNKNOWN'S BATTLEGROUNDS,playerunknowns-battlegrounds.webp (https://dl.airtable.com/.attachments/f1e73666e135625142b43a564cf5ebde/9691521b/playerunknowns-battlegrounds.webp),"Released,Currently Claimable with Pro",28.4.2020,2560x1440 (2K),pubg_proof.png (https://dl.airtable.com/.attachments/3d40761ca9fbe19bc66964243d51bc16/c3e9f697/pubg_proof.png),60,HDR,"Pixel Count,Specs confirmed by devs/pubs",Partial Cross play,PUBG Corporation,PUBG Corporation,£29.99,$29.99,https://stadia.google.com/store/details/a4c5eb3f4e614b7fadbba64cba68f849rcp1/sku/71e7c4fc5ca24f0f8301da6d042bf18e
Power Rangers: Battle for the Grid,power-rangers-battle-for-the-grid.webp (https://dl.airtable.com/.attachments/d29572740d59b5c679d82917968e4d46/a82185d0/power-rangers-battle-for-the-grid.webp),"Released,Previously Claimable with Pro",1.6.2020,1920x1080 (FHD),powerangers_proof.png (https://dl.airtable.com/.attachments/7c0a88c7d67dee22cc27b2a0bc26cc19/f845c388/powerangers_proof.png),60,SDR,"Pixel Count,Not compatible with 4K mode",Full cross play,NWay,NWay,£15.99,$19.99,https://stadia.google.com/store/details/bbb1a143aa3449a5a1f236a05c305c9frcp1/sku/fe5459c281d9443ca8f0e420f59936fc
RAGE 2,rage-2.webp (https://dl.airtable.com/.attachments/9bb1a2124e66f827c9981791dbf80cc4/11d81986/rage-2.webp),Released,19.11.2019,1920x1080 (FHD),rage_proof.png (https://dl.airtable.com/.attachments/fac2605fba95fead33f5a7927f1dc319/e51b6005/rage_proof.png),60,SDR,"Pixel Count,Specs confirmed by devs/pubs",None,Avalanche Studios,Bethesda Softworks,£39.99,$59.99,https://stadia.google.com/store/details/8615c857d7d54efebd94fe17e3f2896crcp1/sku/78ea22fb5c054167bb722322b469f33f
Red Dead Redemption 2,red-dead-redemption-2.webp (https://dl.airtable.com/.attachments/236af5f42a3f1b76bd4900e5baca106d/e323a4ef/red-dead-redemption-2.webp),Released,19.11.2019,2560x1440 (2K),RDR2_proof.png (https://dl.airtable.com/.attachments/86afbe02353f1051751a4e7ee20f6804/6ab9a2b0/RDR2_proof.png),30,HDR,"Pixel Count,Performance/Quality toggle,60FPS in 1080p mode",None,Rockstar Games,Rockstar Games,£54.99,$59.99,https://stadia.google.com/store/details/2152a1e96d5b47b18a5df7ca9bb0751frcp1/sku/f790e37b6161477188923408085528a1
Reigns,reigns.webp (https://dl.airtable.com/.attachments/17832e4cade0b96353b257f2ba4a8410/5885e63d/reigns.webp),"Released,Previously Claimable with Pro",22.12.2020,3840x2160 (4K),reigns_proof.png (https://dl.airtable.com/.attachments/559e6d7bb67b36a7d4071b821f56689e/a80e9a23/reigns_proof.png),60,SDR,Pixel Count,None,Neiral Ltd,Devolver Digital,£1.99,$2.99,https://stadia.google.com/store/details/2677ffb357f946e29b4e86a9f18ea55frcp1/sku/0b415b02e06f452f8be948daf77787c1p
Relicta,image.png (https://dl.airtable.com/.attachments/fc15754427555e560d626047e95d3bc3/328de200/image.png),Released,4.8.2020,2496x1404,relicta_proof.png (https://dl.airtable.com/.attachments/d12e0518f1c67ab2f2c467af1a1a4845/5dfb1d61/relicta_proof.png),60,HDR,Pixel Count,None,Mighty Polygon,Koch Media,£15.99,$19.99,https://stadia.google.com/store/details/ed05d9df2ec4452594b07336e360a1aarcp1/sku/f139cbd41135461a83da504824a5d382
République,republique.webp (https://dl.airtable.com/.attachments/2319e40222434c2c86504dfb9a94ad1a/01c636d0/republique.webp),"Released,Currently Claimable with Pro",15.9.2020,3840x2160 (4K),repub_oriif.png (https://dl.airtable.com/.attachments/811e7c360c25d1505f5a8b7cf4d2cd7e/c3a53fbc/repub_oriif.png),60,SDR,"Pixel Count,Specs confirmed by devs/pubs",None,Camoflaj Studios,Camoflaj Studios,£8.99,$9.99,https://stadia.google.com/store/details/65864a95f9e74129845bda0467486413rcp1/sku/2a4af85a84974cdba4d61df620305335
Resident Evil 7 biohazard,image.png (https://dl.airtable.com/.attachments/58bde81ac9093ddf1661e52a30be261c/4a4541f0/image.png),"Released,Currently Claimable with Pro",1.4.2021,2304x1296,resident_evil_proof.png (https://dl.airtable.com/.attachments/515582c9c100dcd6885387bbf70f07a9/35131d0b/resident_evil_proof.png),60,HDR,Pixel Count,None,Capcom,Capcom,,,https://stadia.google.com/store/details/8c452d1e69554c36a28b64ee8344037drcp1/sku/29857d666ee24e56a7c52ce2f8f561b4p
Resident Evil Village,image.png (https://dl.airtable.com/.attachments/34323d877eee03c5aee17c2c4cc7e20e/9956ccbd/image.png),Released,7.5.2021,2304x1296,RE8_demo_proof.png (https://dl.airtable.com/.attachments/7601ae9e61668b939d3fd54cf373b97f/7e0e5b36/RE8_demo_proof.png),60,HDR,Pixel Count,None,Capcom,Capcom,,,https://stadia.google.com/store/details/c44439c4ee1741b383c93996985efddfrcp1/sku/e86757e0c8a04164b05c501585af600cp
Rise of the Tomb Raider: 20 Year Celebration,rise-of-the-tomb-raider-20-year-celebration.webp (https://dl.airtable.com/.attachments/a7f21dc5f1f0d722d4b1b60264c2a6d4/7d2dd2f8/rise-of-the-tomb-raider-20-year-celebration.webp),"Released,Previously Claimable with Pro",19.11.2019,3840x2160 (4K),riseottr_proof.png (https://dl.airtable.com/.attachments/c76d180b8f2e0b4cefe7a0892639d645/8e1fead8/riseottr_proof.png),30,HDR,"Pixel Count,Performance/Quality toggle,60FPS in 1080p mode",None,"Crystal Dynamics,Eidos Interactive,Nixxes",Square Enix,£24.99,$29.99,https://stadia.google.com/store/details/e5c6ec7bf437491ea4ac0917df8f9640rcp1/sku/f5562aaf93cb46e081d317263bde3013
Risk of Rain 2,risk-of-rain-2.webp (https://dl.airtable.com/.attachments/6415d06d0a899c93caab074c17db8a11/5a1f434c/risk-of-rain-2.webp),"Released,Previously Claimable with Pro",29.9.2020,1920x1080 (FHD),ror_proof.png (https://dl.airtable.com/.attachments/8412e043c019eb8f3f90af35455beabf/6ef75a4b/ror_proof.png),60,SDR,Pixel Count,None,"Hopoo Games,PlayEveryWare",Gearbox Publishing,£19.99,$24.99,https://stadia.google.com/store/details/7b6d79b833354dcaa9b2461086a7763crcp1/sku/5470776eda9b4270b049f081c6bc07ce
Rock of Ages 3: Make and Break,image.png (https://dl.airtable.com/.attachments/04eb6b06fce435d90e449ae59ab5296e/0ec1e646/image.png),"Released,Previously Claimable with Pro",14.8.2020,3840x2160 (4K),roa_proof.png (https://dl.airtable.com/.attachments/7afd0acbc435f25f0452f18e8b5a292d/5b294f0e/roa_proof.png),60,HDR,"Pixel Count,No HDR settings",None,Modus Games,Modus Games,£24.99,$39.99,https://stadia.google.com/store/details/d3d8e467203d401387857d5b6cc27263rcp1/sku/5251fd4e832d459ca046e6eb81b16809
Saints Row: The Third Remastered,image.png (https://dl.airtable.com/.attachments/625dea7f3503043d1885b4e5c745b495/61ef8cf8/image.png),Released,5.3.2021,2112x1188,saints_row_proof.png (https://dl.airtable.com/.attachments/977c305a0064b63a893f249a39a3e801/90236304/saints_row_proof.png),60,HDR,Pixel Count,None,Deep Silver FISHLABS,Koch Media,£34.99,$39.99,https://stadia.google.com/store/details/8d30307256df491c9d578792d11bd474rcp1/sku/100d5974a44743d89ceeae4db9246a41p
SAMURAI SHODOWN (Standard Ver.),samurai-shodown.webp (https://dl.airtable.com/.attachments/0d345304dfde2b4157fbfcadda948f8e/7006cb86/samurai-shodown.webp),"Released,Previously Claimable with Pro",19.11.2019,2560x1440 (2K),ss_proof.png (https://dl.airtable.com/.attachments/28bb2e1c4b66201082bb3ab44d10c730/58d9ec6c/ss_proof.png),60,HDR,Pixel Count,None,SNK,SNK,£47.99,$59.99,https://stadia.google.com/store/details/120348c2707740b99b509fad49a2f45drcp1/sku/888a817c35b5439bb6a03a78ab09e138
Scott Pilgrim VS The World: The Game Complete Edition,scott-pilgrim-vs-the-world-the-game.webp (https://dl.airtable.com/.attachments/b3d257f9000f6c504e8d5a3a8b7e7cc9/109d63bb/scott-pilgrim-vs-the-world-the-game.webp),Released,14.1.2021,Pixel Art/Retro,cooltext380356929453699.png (https://dl.airtable.com/.attachments/07dd478b5dc83ea11dc1bc0eae9ff8ea/d6f92b3b/cooltext380356929453699.png),60,SDR,,None,Engine Software,Ubisoft,£11.99,$14.99,https://stadia.google.com/store/details/a3725b4a70aa4447b4c193125f3a2529rcp1/sku/bf065d3d3dca4d0e8d68418f66d3afa1p
Secret Neighbor,secret-neighbor.webp (https://dl.airtable.com/.attachments/707cbf0c5597ff3582539224d8968fc5/920f4bf0/secret-neighbor.webp),"Released,Previously Claimable with Pro",1.12.2020,1920x1080 (FHD),secret_proof.png (https://dl.airtable.com/.attachments/08e2726c5f629beffc422f91ea4846dc/20aa816f/secret_proof.png),60,SDR,"Pixel Count,Not compatible with 4K mode",None,Hologryph LLC,TinyBuild,£19.99,$19.99,https://stadia.google.com/store/details/8f8d583a2ae843e0b31fa653cea5d27drcp1/sku/5f1dfba8e3d64b3bbd4979c504cea096p
Sekiro: Shadows Die Twice,sekiro-shadows-die-twice.webp (https://dl.airtable.com/.attachments/38d1d993e621e261a34cc875332de6b2/4ab2545d/sekiro-shadows-die-twice.webp),Released,28.10.2020,1920x1080 (FHD),sekiro_proof.png (https://dl.airtable.com/.attachments/1e5c8dc6122c7619bbf409af13433188/ac66bc33/sekiro_proof.png),60,HDR,Pixel Count,None,FromSoftware,FromSoftware,£49.99,$59.99,https://stadia.google.com/store/details/cc3f233990754f77a5819a583594f399rcp1/sku/2a1351f516904ed190546d1b82934bd1
Serious Sam 4,serious-sam-4.webp (https://dl.airtable.com/.attachments/1ebe4e30565561170b2e5aeeb78d3dee/02063d0b/serious-sam-4.webp),Released,24.9.2020,2560x1440 (2K),,30,HDR,"Pixel Count,30FPS in 1080p mode",None,Croteam,Devolver Digital,£39.99,$39.99,https://stadia.google.com/store/details/b3bd32ef05444a189dcdc88f8e85d7f2rcp1/sku/3ff11dc4d2bf449f89c89bf329003e10
Serious Sam Collection,serious-sam-collection.webp (https://dl.airtable.com/.attachments/aa051bd28f7bb32f36136d0cbcb48fcc/19d44c0d/serious-sam-collection.webp),"Released,Previously Claimable with Pro",3.3.2020,2560x1440 (2K),sscol_proof.png (https://dl.airtable.com/.attachments/79c73db7bbedbe1d570bfa892b2d34fa/92aa5d29/sscol_proof.png),60,SDR,Pixel Count,None,Croteam,Devolver Digital,£29.99,$29.99,https://stadia.google.com/store/details/cabec52b78264dafac69011aeacd5753rcp1/sku/45918155e78145af937b5df1a574afd2
Shadow of the Tomb Raider Definitive Edition,shadow-of-the-tomb-raider-definitive-edition.webp (https://dl.airtable.com/.attachments/ee1b34d989dbae0100734e108602b3a5/6996f626/shadow-of-the-tomb-raider-definitive-edition.webp),Released,19.11.2019,3840x2160 (4K),trde_proof.png (https://dl.airtable.com/.attachments/28a1ff44d1789d92e379f266d424e843/955261fd/trde_proof.png),30,HDR,"Pixel Count,Specs confirmed by devs/pubs,Performance/Quality toggle,60FPS in 1080p mode",None,"Crystal Dynamics,Eidos Interactive,Nixxes",Square Enix,£49.99,$59.99,https://stadia.google.com/store/details/efa3b6108d3e41689b2223ba9d48f5c8rcp1/sku/bb9bcb490fd145d9997c8b3ff3f1039f
Shantae: Half-Genie Hero,image.png (https://dl.airtable.com/.attachments/b9a34152578cd101b42bd3508fb1a328/71639dfd/image.png),Released,23.2.2021,,,60,SDR,Not compatible with 4K mode,None,WayForward,WayForward,£29.99,$29.99,https://stadia.google.com/store/details/bd913a37ecfe4b8d8c68280f4e1781bbrcp1/sku/45199edf77734e3db46b181843a9fe75p
Shantae: Risky's Revenge - Director's Cut,image.png (https://dl.airtable.com/.attachments/d28c61779be6cfa4fe5c141f43ebcda8/eadaf2d8/image.png),Released,23.2.2021,Pixel Art/Retro,cooltext380356929453699.png (https://dl.airtable.com/.attachments/6ea51f6b73893240d2fbea86d449dd7b/29754745/cooltext380356929453699.png),60,SDR,Not compatible with 4K mode,None,WayForward,WayForward,£8.99,$9.99,https://stadia.google.com/store/details/4fe5de76fee2427591e4a61d046a20d0rcp1/sku/e8eeb695a5194e3e8e412f41d99db082p
Sniper Elite 4,sniper-elite-4.webp (https://dl.airtable.com/.attachments/cda64d89e0e5e6278ca012016516c218/f4af781c/sniper-elite-4.webp),"Released,Previously Claimable with Pro",1.11.2020,2560x1440 (2K),sniperelite_proof.png (https://dl.airtable.com/.attachments/37eef35066cdd3bf57cd8fd293b91a85/2787ac91/sniperelite_proof.png),60,HDR,"No HDR settings,Pixel Count",None,Rebellion,Rebellion,£49.99,$59.99,https://stadia.google.com/store/details/1376a179ca87458b85acd44341854772rcp1/sku/b485ca2ff43a4c658b32bd638546142cp
Spiritfarer,image.png (https://dl.airtable.com/.attachments/4fe65b5f1a08f229e5fbe1104609dcc3/b94173e7/image.png),Released,21.8.2020,1920x1080 (FHD),spiritfar_proof.png (https://dl.airtable.com/.attachments/22e29a90c1f602d0a2bb28d1cdef17f2/e08facc1/spiritfar_proof.png),60,SDR,"Not compatible with 4K mode,Pixel Count,Specs confirmed by devs/pubs",None,Thunder Lotus Games,Thunder Lotus Games,£23.99,$29.99,https://stadia.google.com/store/details/430bbe284fb7482c9afe8e877b119269rcp1/sku/5582aa71e58a45e59a05598a93cde9a3
Spitlings,spitlings.webp (https://dl.airtable.com/.attachments/3793bfbd97fd26b9ba5f100492908fc2/cc4063b0/spitlings.webp),"Released,Previously Claimable with Pro",25.2.2020,3840x2160 (4K),,60,SDR,"Pixel Count,Specs confirmed by devs/pubs",None,Massive Miniteam,Handy Games,£12.99,$14.99,https://stadia.google.com/store/details/921e9afe46aa478fb4aa929a7b1a6bd5rcp1/sku/f16b28e2fd224acaafeee4c19134adb4
SpongeBobSquarePants:Battle for Bikini BottomRehydrated,spongebob-squarepants-battle-for-bikini-bottom-rehydrated.webp (https://dl.airtable.com/.attachments/98d86426143e34681443bf6e5451c0f9/fb49277e/spongebob-squarepants-battle-for-bikini-bottom-rehydrated.webp),"Released,Currently Claimable with Pro",8.12.2020,1920x1080 (FHD),sbsp_proof.png (https://dl.airtable.com/.attachments/296ab050ebc1af422fd4366ddf6d4ecd/2d7c9e2a/sbsp_proof.png),60,SDR,"Pixel Count,Not compatible with 4K mode",None,Purple Lamp Studios,THQ Nordic,£26.99,$29.99,https://stadia.google.com/store/details/53bd183291e340dda697167108d3dc6brcp1/sku/a25302b5cbc44d03b1440d2adaa0dd5ap
Stacks On Stacks (On Stacks),stacks-on-stacks-on-stacks.webp (https://dl.airtable.com/.attachments/737be8c17ca4261dc2b8f07ff6132938/dce0fded/stacks-on-stacks-on-stacks.webp),"Released,Previously Claimable with Pro",1.4.2020,3840x2160 (4K),stacks_proof.png (https://dl.airtable.com/.attachments/633df3cb1bfafd87b3a7b02aec0d16a9/4579aff9/stacks_proof.png),60,SDR,Pixel Count,None,Herringbone Games,Herringbone Games,£9.99,$12.99,https://stadia.google.com/store/details/15a067411b8d4429b0954434d8f05d48rcp1/sku/7ed521aacf2a44168fb99cd1e13472ad
Star Wards Jedi: Fallen Order,star-wars-jedi-fallen-order.webp (https://dl.airtable.com/.attachments/8980b22ea9fe84263e5b51ac397260a9/4b87a94a/star-wars-jedi-fallen-order.webp),"Released,Currently Claimable with Pro",24.11.2020,1920x1080 (FHD),star_wars_proof.png (https://dl.airtable.com/.attachments/cd9912a8bc030d791a2c73fd110f7655/e942faf8/star_wars_proof.png),60,HDR,"Pixel Count,No HDR settings",None,Respawn Interactive,Electronic Arts Inc,£59.99,$59.99,https://stadia.google.com/store/details/36c01626f21f428e8d5ae35ce19c774brcp1/sku/73f14fd59eb3417c8439562f54d2fc4a
SteamWorld Dig,steamworld-dig.webp (https://dl.airtable.com/.attachments/9e8fe1d94c89229257356ed3383da0f3/9b3d0c10/steamworld-dig.webp),"Released,Currently Claimable with Pro",10.3.2020,1920x1080 (FHD),swd_proof.png (https://dl.airtable.com/.attachments/4d18a6e2d35d1614780c1d8e65607b6d/e41448dc/swd_proof.png),60,HDR,"No HDR settings,Pixel Count,Specs confirmed by devs/pubs",None,Image and Form,Image and Form,£6.99,$9.99,https://stadia.google.com/store/details/c4898519ff254b969ede8bafdff927e8rcp1/sku/f6658df6c8874c828532d5d24c66d58f
SteamWorld Dig 2,steamworld-dig-2.webp (https://dl.airtable.com/.attachments/fd6f53421a074a6408b560009f60fb2f/8512f392/steamworld-dig-2.webp),"Released,Previously Claimable with Pro",1.3.2020,1920x1080 (FHD),swd2_proof.png (https://dl.airtable.com/.attachments/5f64ddf59818fa9746cda33ecae0b57d/92ff30e5/swd2_proof.png),60,HDR,"No HDR settings,Pixel Count,Specs confirmed by devs/pubs",None,Image and Form,Image and Form,£14.99,$19.99,https://stadia.google.com/store/details/b832835182124d4d83cb76a74a76a33frcp1/sku/90f5bd9270024986b26ee8221c1fa2e4
SteamWorld Heist,steamworld-heist.webp (https://dl.airtable.com/.attachments/14ed6fa72e7f6546cb7c9caa2762c2fe/821aeef2/steamworld-heist.webp),"Released,Previously Claimable with Pro",10.3.2020,3840x2160 (4K),swh_proof.png (https://dl.airtable.com/.attachments/5e62c2cbf8b77529d360bb161d532d76/f2ac7404/swh_proof.png),60,HDR,"No HDR settings,Pixel Count",None,Image and Form,Image and Form,£11.99,$19.99,https://stadia.google.com/store/details/819cdf4b7ff94947941106571ccf41e5rcp1/sku/f47a1e1e9f0b43078e0a80c57068b085
SteamWorld Quest: Hand of Gilgamech,steamworld-quest-hand-of-gilgamech.webp (https://dl.airtable.com/.attachments/33e8fcd22637c8c4f973461f1f356d18/7a6f13df/steamworld-quest-hand-of-gilgamech.webp),"Released,Previously Claimable with Pro",1.3.2020,1920x1080 (FHD),swq_proof.png (https://dl.airtable.com/.attachments/f177249bc89fe0ea06dfb8ebf6dac548/4f6c7b46/swq_proof.png),60,HDR,"No HDR settings,Pixel Count,Specs confirmed by devs/pubs",None,Image and Form,Image and Form,£21.99,$24.99,https://stadia.google.com/store/details/b845605f8eb447008f3f0d2295265ffdrcp1/sku/a1afa4eca7b24713a9bcf3421dd85a13
Strange Brigade,image.png (https://dl.airtable.com/.attachments/061d5fcefe3c9814f1a4c50eaeef4354/48c6200d/image.png),"Released,Previously Claimable with Pro",1.8.2020,2560x1440 (2K),strange_brig_proof.png (https://dl.airtable.com/.attachments/eab66e1b5a50641861a2ee9a647ee2c8/ae472189/strange_brig_proof.png),60,HDR,Pixel Count,None,Rebellion,Rebellion,£39.99,$49.99,https://stadia.google.com/store/details/8e77c7a4368944589b4c9d8179d2eb4crcp1/sku/2d155b69c4af46078db2d96a8b0e6883
Street Power Football,street-power-football.webp (https://dl.airtable.com/.attachments/bfb1d6edf42560711e6c0b339fa51fcf/e4170816/street-power-football.webp),Released,11.5.2021,1920x1080 (FHD),streetpf_proof.png (https://dl.airtable.com/.attachments/7e1284179ff742b2c801aa98b8864834/4a0e4e30/streetpf_proof.png),60,SDR,"Pixel Count,Not compatible with 4K mode",None,Poppy Works,Maximum Games,£24.99,,https://stadia.google.com/store/details/a997c2d05c1b4680b47e376367c187ecrcp1/sku/10d1a160b6904ccba713cafbfe431856p
