Title,Store Link,Maximum Resolution (EN),Framerate in 4K mode (EN),HDR/SDR (EN),ID,Chris' Comments Box
IMMORTALS FENYX RISING,https://stadia.google.com/store/details/161f276db10947a199cd0260ed4dc248rcp1/sku/7f69e006dede4c8eab019dede177c57dp,2880x1620 (3K),30,HDR,161f276db10947a199cd0260ed4dc248rcp1,Pixel Count | Specs confirmed by devs/pubs | Performance/Quality toggle | 60FPS in 1080p mode
Into the Breach,https://stadia.google.com/store/details/1a871cfe8a7d4ebc8592c2ad4bc07150rcp1/sku/ab83a7b5efed40188c8ab8798d7dbfa6,Pixel Art/Retro,60,HDR,1a871cfe8a7d4ebc8592c2ad4bc07150rcp1,
It Came From Space And Ate Our Brains,https://stadia.google.com/store/details/004b82924b0441c5a2ba6488cca19b90rcp1/sku/cf6b0ff80be24b3591051fb31a0765c0p,3840x2160 (4K),60,SDR,004b82924b0441c5a2ba6488cca19b90rcp1,Pixel Count
Jotun: Valhalla Edition,https://stadia.google.com/store/details/c727a9083ce649e5b1cc6999c4fa2e5frcp1/sku/43fb9c029d0641e290fdbaedea1c3a40,1920x1080 (FHD),60,SDR,c727a9083ce649e5b1cc6999c4fa2e5frcp1,Pixel Count | Specs confirmed by devs/pubs | Not compatible with 4K mode
Journey to the Savage Planet,https://stadia.google.com/store/details/22c6d03e67474644a139de4f04a08c11rcp1/sku/a287b8393c204384a8b940dc79d142fd,3840x2160 (4K),60,SDR,22c6d03e67474644a139de4f04a08c11rcp1,Pixel Count
Judgment,https://stadia.google.com/store/details/3b8cebf1104f4705b8e8d1994429ec4crcp1/sku/c42a74b39a05482e9043ba235f035268p,1920x1080 (FHD),60,SDR,3b8cebf1104f4705b8e8d1994429ec4crcp1,Pixel Count
Just Dance 2020,https://stadia.google.com/store/details/4b7f307c37364d659118bf7d435733c7rcp1/sku/3feef74cbacf4ba39b5d9087e0dfb9e4,1920x1080 (FHD),60,SDR,4b7f307c37364d659118bf7d435733c7rcp1,Pixel Count | Specs confirmed by devs/pubs
Just Dance 2021,https://stadia.google.com/store/details/b87ca389d6454546af28dff82898406arcp1/sku/691ff561f94e4fe79a219434f4186862,,60,HDR,b87ca389d6454546af28dff82898406arcp1,
Just Shapes & Beats,https://stadia.google.com/store/details/6b43cecd79734ba28cef5894985c65f1rcp1/sku/a8918900bd834426ab8f5a55fba998c7,3840x2160 (4K),60,HDR,6b43cecd79734ba28cef5894985c65f1rcp1,Pixel Count | Specs confirmed by devs/pubs
Kaze and the Wild Masks,https://stadia.google.com/store/details/46f42ce202a6460d897fb43f43e20846rcp1/sku/661e3e532e16441a8f79f09e369d1ebbp,Pixel Art/Retro,60,,46f42ce202a6460d897fb43f43e20846rcp1,
Kemono Heroes,https://stadia.google.com/store/details/81733d32e2db41f9a58b97aa80c0b2fcrcp1/sku/75f3878de6e64b6084650d3dabd25abap,Pixel Art/Retro,,,81733d32e2db41f9a58b97aa80c0b2fcrcp1,
Killer Queen Black,https://stadia.google.com/store/details/3f30ebc3799945fea323f8a663c35501rcp1/sku/70065c4266c5464ca068d225cd341902p,Pixel Art/Retro,60,SDR,3f30ebc3799945fea323f8a663c35501rcp1,Not compatible with 4K mode
Kine,https://stadia.google.com/store/details/da94f3aa88b24eb6ae6fdff798f73355rcp1/sku/8d3124a81f6444219acd3d99c90a5658,3840x2160 (4K),60,SDR,da94f3aa88b24eb6ae6fdff798f73355rcp1,Pixel Count | Specs confirmed by devs/pubs
Kona,https://stadia.google.com/store/details/f5f9708a422a44cc876c240cfa07221drcp1/sku/12f3e5611c34478fb0285c6de4f2a8aa,2560x1440 (2K),60,HDR,f5f9708a422a44cc876c240cfa07221drcp1,Pixel Count
Lara Croft and the Guardian of Light,https://stadia.google.com/store/details/29b3d5d6788f444c8cd59aa0a49d1bd1rcp1/sku/b4f4f4de3d1e4eef9417a9c896513f0ap,3840x2160 (4K),60,HDR,29b3d5d6788f444c8cd59aa0a49d1bd1rcp1,No HDR settings | Pixel Count
Lara Croft and the Temple of Osiris,https://stadia.google.com/store/details/6d0d865669774338b3ce888a84da6cdercp1/sku/163efc95783a4c39839c218b75e36127,2560x1440 (2K),60,HDR,6d0d865669774338b3ce888a84da6cdercp1,Pixel Count | No HDR settings
Legend of Keepers: Career of a Dungeon Manager,https://stadia.google.com/store/details/ba593716983f436ea49ae09a531d65b5rcp1/sku/83e17749482942da85f0c20ea0d47ca5p,Pixel Art/Retro,60,HDR,ba593716983f436ea49ae09a531d65b5rcp1,No HDR settings
Life is Strange: True Colors,https://stadia.google.com/store/details/00c1858d808f469297b1200c8383f5f5rcp1/sku/148d525554cc4dd6ac40cb61cd98e902p,,,,00c1858d808f469297b1200c8383f5f5rcp1,
Little Big Workshop,https://stadia.google.com/store/details/e4e8f5e5bc744270a644c554ba3f2962rcp1/sku/c00cecabcbde4e95bdab69be6e80b40bp,3840x2160 (4K),60,SDR,e4e8f5e5bc744270a644c554ba3f2962rcp1,Pixel Count
Little Nightmares,https://stadia.google.com/store/details/3aed855f10b34f618e5f6c6f5467bcf9rcp1/sku/77ab8b1807a849e3991826d8d7a9e3e0,3840x2160 (4K),60,SDR,3aed855f10b34f618e5f6c6f5467bcf9rcp1,Pixel Count
Little Nightmares 2,https://stadia.google.com/store/details/0175bc876f55414ca207b2ea6691cfb2rcp1/sku/657a67fa3574490aa63600ea1d4b5c2dp,2880x1620 (3K),60,SDR,0175bc876f55414ca207b2ea6691cfb2rcp1,Pixel Count
Lost Words: Beyond the Page,https://stadia.google.com/store/details/d334bea27ee64ef5a3a9bb14b1d6a88ercp1/sku/ab6a5a0d448d4c7aaed8dfa91ad6f4b9,,60,HDR,d334bea27ee64ef5a3a9bb14b1d6a88ercp1,
Madden 21,https://stadia.google.com/store/details/0e6c703afde840148204847447b9c21drcp1/sku/7f7cf21388134e2d9218968af61ab7dap,3840x2160 (4K),60,HDR,0e6c703afde840148204847447b9c21drcp1,Pixel Count | No HDR settings
Marvel's Avengers,https://stadia.google.com/store/details/232ff8abc7f74421a477e9e09dbf487drcp1/sku/cfc62fc3307a4ef1930e4644646c8179p,3840x2160 (4K),30,HDR,232ff8abc7f74421a477e9e09dbf487drcp1,Pixel Count | 60FPS in 1080p mode
Metro 2033 Redux,https://stadia.google.com/store/details/9b3ea6519cac48d68ca821f07b1a6a3drcp1/sku/de1e97332f1148468759dfc4553edad9,2560x1440 (2K),60,SDR,9b3ea6519cac48d68ca821f07b1a6a3drcp1,Pixel Count
Metro Exodus,https://stadia.google.com/store/details/879d82512f5441829250ead1aa678a70rcp1/sku/8ca5e97f091e4f7fbfcf8069ba850b1f,3840x2160 (4K),30,HDR,879d82512f5441829250ead1aa678a70rcp1,Pixel Count | 60FPS in 1080p mode
Metro Last Light Redux,https://stadia.google.com/store/details/b65c1c4dcdf24446bcecda190c6a2fe7rcp1/sku/92cd0fa4958444b5846d1b72878c7e25,2560x1440 (2K),60,HDR,b65c1c4dcdf24446bcecda190c6a2fe7rcp1,Pixel Count | No HDR settings
Monopoly,https://stadia.google.com/store/details/10b8a9cc8ec746f29afc1fc3c3ded28brcp1/sku/256f320f886b4ee68b7980d6fc1bd1b1,2560x1440 (2K),60,SDR,10b8a9cc8ec746f29afc1fc3c3ded28brcp1,Pixel Count
Monster Boy and the Cursed Kingdom,https://stadia.google.com/store/details/ef14fb2f692c4b42b4b092d3e7864cd8rcp1/sku/38f772ac664545d99890ebb460d1d894,,60,SDR,ef14fb2f692c4b42b4b092d3e7864cd8rcp1,
Monster Energy Supercross - The Official Videogame 3,https://stadia.google.com/store/details/d50e1c1b61224bceb65da9406f3f4e8frcp1/sku/3ac3e537019c49028d7bb98e8cd92482,3840x2160 (4K),30,HDR,d50e1c1b61224bceb65da9406f3f4e8frcp1,Pixel Count | 60FPS in 1080p mode
Monster Energy Supercross - The Official Videogame 4,https://stadia.google.com/store/details/a62130f4b41b4878a00f8ec444df6b01rcp1/sku/5e700b58ae2546a2b5c4cc13da8f37a2p,2880x1620 (3K),30,HDR,a62130f4b41b4878a00f8ec444df6b01rcp1,Pixel Count | Performance/Quality toggle | 60FPS in 1080p mode
Monster Jam Steel Titans,https://stadia.google.com/store/details/e7506ec75c8046dfa7879fe604505ca7rcp1/sku/2af064a6b4814ae6a280ab8018842623p,3840x2160 (4K),30,SDR,e7506ec75c8046dfa7879fe604505ca7rcp1,Pixel Count
Monster Jam Steel Titans 2,https://stadia.google.com/store/details/3fa9461d9fbd4fb3855039d9b64ca736rcp1/sku/9fcd42244f3a456fa24dbc536564e457p,3840x2160 (4K),30,SDR,3fa9461d9fbd4fb3855039d9b64ca736rcp1,Pixel Count | 30FPS in 1080p mode
Mortal Kombat 11,https://stadia.google.com/store/details/7bfbcba307114ab88ae4231da2ec85d3rcp1/sku/f3f250e8a4d54f60ba730fbc04268052,2560x1440 (2K),60,HDR,7bfbcba307114ab88ae4231da2ec85d3rcp1,Pixel Count
MotoGP 20,https://stadia.google.com/store/details/e465c4086aff4884990933d9f119f5f5rcp1/sku/b0c60f8483be419eb2335a79a0783cc5,2560x1440 (2K),30,HDR,e465c4086aff4884990933d9f119f5f5rcp1,Pixel Count | 60FPS in 1080p mode
Murder by Numbers,https://stadia.google.com/store/details/ee055d3ed7d3485d81ee329ec554c207rcp1/sku/56f0d41333854907884b544e90a4c2a0p,1920x1080 (FHD),60,SDR,ee055d3ed7d3485d81ee329ec554c207rcp1,Pixel Count | Not compatible with 4K mode
Nanotale - Typing Chronicles,https://stadia.google.com/store/details/4108770e33414848ae849cb6ad14e685rcp1/sku/32f70a285ee34bdfba4261237f869ad9p,3840x2160 (4K),30,SDR,4108770e33414848ae849cb6ad14e685rcp1,Pixel Count
NBA 2K20,https://stadia.google.com/store/details/2afad3696b394f669b49e4c0b6016958rcp1/sku/b6d1b295ed0d4f1080576ac5d51df6d0,3840x2160 (4K),30,HDR,2afad3696b394f669b49e4c0b6016958rcp1,Pixel Count | 60FPS in 1080p mode
NBA 2K21,https://stadia.google.com/store/details/b0a2ab7cdc194582bc4d111c07c2e30drcp1/sku/ae31d6ce393f4896b9b9d1f2f1ac676ep,3840x2160 (4K),30,HDR,b0a2ab7cdc194582bc4d111c07c2e30drcp1,Pixel Count | 60FPS in 1080p mode
OCTOPATH TRAVELER,https://stadia.google.com/store/details/48ead86182b14fe0afcc5f2927dbed51rcp1/sku/a6c13e6aa796439295774eb0e8cd3f8b,Pixel Art/Retro,60,SDR,48ead86182b14fe0afcc5f2927dbed51rcp1,
Olympic Games Tokyo 2020,,,,,#ERROR!,
One Hand Clapping,https://stadia.google.com/store/details/76309b9f2f294b07b410e8b6aa879273rcp1/sku/55b718bf03544bd3a9f6a62946fe7436,3840x2160 (4K),60,HDR,76309b9f2f294b07b410e8b6aa879273rcp1,Pixel Count
Orcs Must Die 3,https://stadia.google.com/store/details/c1928530515748da9f55afc7243fd3e1rcp1/sku/fa63c6e891ff4d1bb76c4ac7580c119a,3840x2160 (4K),60,HDR,c1928530515748da9f55afc7243fd3e1rcp1,Pixel Count | Specs confirmed by devs/pubs
Outcasters,https://stadia.google.com/store/details/8533fb04b9174c3f8dce10a2fec7b062rcp1/sku/dbea776881b04301a1815e2ad662419a,,60,HDR,8533fb04b9174c3f8dce10a2fec7b062rcp1,No HDR settings
Outriders,https://stadia.google.com/store/details/ad1e34961f2148568d215a8101df7693rcp1/sku/bd34045ef3d7485dba29ca6d629d8238p,3840x2160 (4K),30,HDR,ad1e34961f2148568d215a8101df7693rcp1,Pixel Count | Performance/Quality toggle | 60FPS in 1080p mode
Outward,https://stadia.google.com/store/details/8185df0ce9d74d61aab58a12d4bf21a0rcp1/sku/6eaae50957c0401e8d6d893bda9d9b97p,1920x1080 (FHD),60,SDR,8185df0ce9d74d61aab58a12d4bf21a0rcp1,Pixel Count | Not compatible with 4K mode
PAC-MAN Mega Tunnel Battle,https://stadia.google.com/store/details/9affbc684aeb422086bfb5d0c8bf2f55rcp1/sku/5fa0d3e596d74c018b6778dab6098edcp,3840x2160 (4K),60,SDR,9affbc684aeb422086bfb5d0c8bf2f55rcp1,Pixel Count
Panzer Dragoon: Remake,https://stadia.google.com/store/details/ffda0b7e397243f8956f92f89b6902c4rcp1/sku/ac819b64342841eda35cebfd3a34c769,3840x2160 (4K),60,HDR,ffda0b7e397243f8956f92f89b6902c4rcp1,Pixel Count | Specs confirmed by devs/pubs
PGA TOUR 2K21,https://stadia.google.com/store/details/6a2ac2fc8e684c41b5c14981dcb454fdrcp1/sku/9c7fd0f16817482c9e0b311a8340cb0b,3840x2160 (4K),30,SDR,6a2ac2fc8e684c41b5c14981dcb454fdrcp1,Pixel Count | 30FPS in 1080p mode
Phoenix Point,https://stadia.google.com/store/details/18ea8c5d2f7e4f40ad783a512da8ef91rcp1/sku/27099d8546ee4bcfbd172b5a4071c399p,3840x2160 (4K),30,HDR,18ea8c5d2f7e4f40ad783a512da8ef91rcp1,Pixel Count
PHOGS!,https://stadia.google.com/store/details/05b9db9b9b5b489995568afd930a9db3rcp1/sku/6efd691ecc1c4c50a1a314bb085fb2d7p,3840x2160 (4K),60,SDR,05b9db9b9b5b489995568afd930a9db3rcp1,Pixel Count | Specs confirmed by devs/pubs
Pikuniku,https://stadia.google.com/store/details/c02a86f966b044569ee03f80fbc86035rcp1/sku/f1bbad79434f496bae9865248c6c136ap,3840x2160 (4K),30,SDR,c02a86f966b044569ee03f80fbc86035rcp1,Pixel Count | 30FPS in 1080p mode
PixelJunk Raiders,https://stadia.google.com/store/details/5903b3b139194aefa713f216669ee334rcp1/sku/45405fbb56ad4f9fa280d60a6bb57b08p,2880x1620 (3K),60,SDR,5903b3b139194aefa713f216669ee334rcp1,Pixel Count
PLAYERUNKNOWN'S BATTLEGROUNDS,https://stadia.google.com/store/details/a4c5eb3f4e614b7fadbba64cba68f849rcp1/sku/71e7c4fc5ca24f0f8301da6d042bf18e,2560x1440 (2K),60,HDR,a4c5eb3f4e614b7fadbba64cba68f849rcp1,Pixel Count | Specs confirmed by devs/pubs
Power Rangers: Battle for the Grid,https://stadia.google.com/store/details/bbb1a143aa3449a5a1f236a05c305c9frcp1/sku/fe5459c281d9443ca8f0e420f59936fc,1920x1080 (FHD),60,SDR,bbb1a143aa3449a5a1f236a05c305c9frcp1,Pixel Count | Not compatible with 4K mode
RAGE 2,https://stadia.google.com/store/details/8615c857d7d54efebd94fe17e3f2896crcp1/sku/78ea22fb5c054167bb722322b469f33f,1920x1080 (FHD),60,SDR,8615c857d7d54efebd94fe17e3f2896crcp1,Pixel Count | Specs confirmed by devs/pubs
Red Dead Redemption 2,https://stadia.google.com/store/details/2152a1e96d5b47b18a5df7ca9bb0751frcp1/sku/f790e37b6161477188923408085528a1,2560x1440 (2K),30,HDR,2152a1e96d5b47b18a5df7ca9bb0751frcp1,Pixel Count | Performance/Quality toggle | 60FPS in 1080p mode
Reigns,https://stadia.google.com/store/details/2677ffb357f946e29b4e86a9f18ea55frcp1/sku/0b415b02e06f452f8be948daf77787c1p,3840x2160 (4K),60,SDR,2677ffb357f946e29b4e86a9f18ea55frcp1,Pixel Count
Relicta,https://stadia.google.com/store/details/ed05d9df2ec4452594b07336e360a1aarcp1/sku/f139cbd41135461a83da504824a5d382,2496x1404,60,HDR,ed05d9df2ec4452594b07336e360a1aarcp1,Pixel Count
République,https://stadia.google.com/store/details/65864a95f9e74129845bda0467486413rcp1/sku/2a4af85a84974cdba4d61df620305335,3840x2160 (4K),60,SDR,65864a95f9e74129845bda0467486413rcp1,Pixel Count | Specs confirmed by devs/pubs
Resident Evil 7 biohazard,https://stadia.google.com/store/details/8c452d1e69554c36a28b64ee8344037drcp1/sku/29857d666ee24e56a7c52ce2f8f561b4p,2304x1296,60,HDR,8c452d1e69554c36a28b64ee8344037drcp1,Pixel Count
